,code,country,name,unit
7859,MA-USA-7380777977,United States,Industrial Production MoM,"percent Volume, "
7860,MA-USA-7382,United States,Fed Funds Rate,%
7861,MA-USA-738377788973,United States,ISM New York Index,percent 
7862,MA-USA-74677677,United States,Initial Jobless Claims,"Thousand Volume, "
7863,MA-USA-747966797070,United States,Job Openings,Thousand 
7864,MA-USA-74866567,United States,Job Vacancies,"Thousand Volume, N"
7865,MA-USA-7667,United States,Nonfarm Unit Labour Cost,"points 2012=100, "
7866,MA-USA-76708082,United States,Labor Force Participation Rate,percent 
7867,MA-USA-768083,United States,Loans to Private Sector,"USD Billion Current Prices, "
7868,MA-USA-76857882,United States,Long Term Unemployment Rate,%
7869,MA-USA-7748,United States,Money Supply M0,"USD Million Current Prices, N"
7870,MA-USA-7749,United States,Money Supply M1,"USD Billion Current Prices, "
7871,MA-USA-7750,United States,Money Supply M2,"USD Billion Current Prices, "
7872,MA-USA-7765788771,United States,Average Hourly Wages in Manufacturing,"USD/Hour Current Prices, N"
7873,MA-USA-77658076,United States,MBA Mortgage Applications,percent 
7874,MA-USA-777584,United States,Dow Jones Industrial Average,unit
7875,MA-USA-7779828471,United States,MBA 30-Yr Mortgage Rate,%
7876,MA-USA-7780,United States,Manufacturing Production,"percent 2012=100, "
7877,MA-USA-77806589,United States,Manufacturing Payrolls,Thousand 
7878,MA-USA-77807773,United States,Manufacturing PMI,points 
7879,MA-USA-78657266,United States,Nahb Housing Market Index,
7880,MA-USA-786584718367,United States,Natural Gas Stocks Change ,Billion cf
7881,MA-USA-78707366,United States,Nfib Business Optimism Index,points 
7882,MA-USA-787080,United States,Non Farm Payrolls,Thousand
7883,MA-USA-787080828086,United States,Nonfarm Payrolls,Thousand
7884,MA-USA-787283,United States,New Home Sales,"Thousand units Volume, "
7885,MA-USA-7876848470,United States,Net Long-Term TIC Flows,"USD Million Current Prices, N"
7886,MA-USA-7877807773,United States,Non Manufacturing PMI,points 
7887,MA-USA-7879,United States,New Orders,"USD Million Current Prices, "
7888,MA-USA-797376,United States,Crude Oil Production,BBL/D/1K N
7889,MA-USA-798084,United States,IBD/TIPP Economic Optimism Index,
7890,MA-USA-8067698073,United States,Personal Consumption Expenditure Price Index,points 2012=100; 
7891,MA-USA-80706968,United States,Philadelphia Fed Manufacturing Index,points 
7892,MA-USA-807283,United States,Pending Home Sales,"percent Volume Index, "
7893,MA-USA-8073,United States,Personal Income,"percent Current Prices, "
7894,MA-USA-80738482,United States,Personal Income Tax Rate,%
7895,MA-USA-807980,United States,Population,Million
7896,MA-USA-808073,United States,Producer Prices,points 2009M11=100; 
7897,MA-USA-80807367,United States,Producer Prices Change,percent N
7898,MA-USA-80827968,United States,Nonfarm Labour Productivity,"points 2012=100, "
7899,MA-USA-80836586,United States,Personal Savings Rate,percent Seasonally Adjusted
7900,MA-USA-808380,United States,Personal Spending,"percent Current Prices, "
7901,MA-USA-82686675,United States,Redbook Index,percent N
7902,MA-USA-8283698865,United States,Retail Sales Ex Autos MoM,"percent Current Prices, "
7903,MA-USA-828377,United States,Retail Sales MoM,"percent Current Prices, "
7904,MA-USA-828389,United States,Retail Sales YoY,%
7905,MA-USA-83807773,United States,Services PMI,unit
7906,MA-USA-838382,United States,Social Security Rate,%
7907,MA-USA-83838267,United States,Social Security Rate For Companies,%
7908,MA-USA-83838269,United States,Social Security Rate For Employees,%
7909,MA-USA-838482,United States,Sales Tax Rate,%
7910,MA-USA-847984,United States,Terms of Trade,"points Current Prices, "
7911,MA-USA-84798582,United States,Tourist Arrivals,
7912,MA-USA-848683,United States,Total Vehicle Sales,"Million Volume, "
7913,MA-USA-857880,United States,Unemployed Persons,"Thousand Volume, "
7914,MA-USA-857882,United States,Unemployment Rate,%
7915,MA-USA-85788289,United States,Youth Unemployment Rate,percent 
7916,MA-USA-87657169,United States,Average Hourly Wages,"USD/Hour Current Prices, "
7917,MA-USA-87737886,United States,Wholesale Inventories,"percent Current Prices, "
