,address,city,country,currency,cusip,description,employeeTotal,exchange,finnhubIndustry,ggroup,gind,gsector,gsubind,ipo,isin,logo,marketCapitalization,naics,naicsNationalIndustry,naicsSector,naicsSubsector,name,phone,sedol,shareOutstanding,state,ticker,weburl
0,1 Procter and Gamble Plz,Cincinnati,US,USD,742718109,"Procter & Gamble Co. engages in the provision of branded consumer packaged goods. The company is headquartered in Cincinnati, Ohio and currently employs 97,000 full-time employees. The firm operates through five segments: Beauty; Grooming; Health Care; Fabric & Home Care, and Baby, Feminine & Family Care. The firm sells its products in approximately 180 countries and territories primarily through mass merchandisers, grocery stores, membership club stores, drug stores, department stores, distributors, baby stores, specialty beauty stores, e-commerce, high-frequency stores and pharmacies. The company offers products under the brands, such as Olay, Old Spice, Safeguard, Head & Shoulders, Pantene, Rejoice, Mach3, Prestobarba, Venus, Cascade, Dawn, Febreze, Mr. Clean, Bounty and Charmin.",97000,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,Household & Personal Products,Household Products,Consumer Staples,Household Products,1950-03-22,US7427181091,,343468.2,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",Soap and Other Detergent Manufacturing,Manufacturing,Chemical Manufacturing,Procter & Gamble Co,15139831100,2704407,2489.621414,OHIO,PG,https://us.pg.com/
0,2211 H H Dow Way,Midland,US,USD,260557103,"Dow, Inc. materials science company, combining science and technology to develop innovative solutions. The company is headquartered in Midland, Michigan and currently employs 37,000 full-time employees. The Company’s portfolio comprised of six global business units, organized into three operating segments: Performance Materials & Coatings, Industrial Intermediates & Infrastructure and Packaging & Specialty Plastics. Its products serve different applications, including coatings, home and personal care, durable goods, adhesives and sealants, and food and specialty packaging. In addition, the Company operates a global commercial and development network that features eight research and development (R&D) centers.",36500,"NEW YORK STOCK EXCHANGE, INC.",Chemicals,Materials,Chemicals,Materials,Commodity Chemicals,2019-03-20,US2605571031,,36018.5,"Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing",Plastics Material and Resin Manufacturing,Manufacturing,Chemical Manufacturing,Dow Inc,19896361000,BHXCF84,741.12145,MICHIGAN,DOW,
0,6001 Bollinger Canyon Rd,San Ramon,US,USD,166764100,"Chevron Corp. engages in the provision of administrative, financial management, and technology support for energy and chemical operations. The company is headquartered in San Ramon, California and currently employs 48,600 full-time employees. The firm operates through two business segments: Upstream and Downstream. Upstream operations consist primarily of exploring for, developing and producing crude oil and natural gas; liquefaction, transportation and regasification associated with liquefied natural gas; transporting crude oil by international oil export pipelines; processing, transporting, storage and marketing of natural gas, and a gas-to-liquids plant. Downstream operations consist primarily of refining of crude oil into petroleum products; marketing of crude oil and refined products; transporting of crude oil and refined products, and manufacturing and marketing of commodity petrochemicals.",48200,"NEW YORK STOCK EXCHANGE, INC.",Energy ,Energy,"Oil, Gas & Consumable Fuels",Energy,Integrated Oil & Gas,1921-06-24,US1667641005,https://static.finnhub.io/logo/b5214c2e-80eb-11ea-b823-00000000092a.png,152989.8,Petroleum and Coal Products Manufacturing,Petroleum Refineries,Manufacturing,Petroleum and Coal Products Manufacturing,Chevron Corp,19258421000,2838555,1867.323403,CALIFORNIA,CVX,https://www.chevron.com/
0,1 Johnson And Johnson Plz,New Brunswick,US,USD,478160104,"Johnson & Johnson is a holding company, which engages in the research and development, manufacture and sale of products in the health care field. The company is headquartered in New Brunswick, New Jersey and currently employs 135,100 full-time employees. The company operates through three segments: Consumer, Pharmaceutical and Medical Devices. Its primary focus is products related to human health and well-being. The Consumer segment includes a range of products used in the baby care, oral care, skin care, over-the-counter pharmaceutical, women's health and wound care markets. The Pharmaceutical segment is focused on five therapeutic areas, including immunology, infectious diseases, neuroscience, oncology, and cardiovascular and metabolic diseases. The Medical Devices segment includes a range of products used in the orthopedic, surgery, cardiovascular, diabetes care and vision care fields. Its research facilities are located in the United States, Belgium, Brazil, Canada, China, France, Germany, India, Israel, Japan, the Netherlands, Singapore, Switzerland and the United Kingdom.",132200,"NEW YORK STOCK EXCHANGE, INC.",Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Health Care,Pharmaceuticals,1944-09-25,US4781601046,https://static.finnhub.io/logo/0a900736-80ec-11ea-8224-00000000092a.png,391211.3,Pharmaceutical and Medicine Manufacturing,Pharmaceutical Preparation Manufacturing,Manufacturing,Chemical Manufacturing,Johnson & Johnson,17325242455,2475833,2632.823475,NEW JERSEY,JNJ,https://www.jnj.com/
0,500 S Buena Vista St,Burbank,US,USD,254687106,"The Walt Disney Co. is a diversified international family entertainment and media enterprise. The company is headquartered in Burbank, California and currently employs 223,000 full-time employees. The firm operates in four business segments: Media Networks, Parks Experiences and Products, Studio Entertainment, and Direct-To-Consumer and International. The media networks segment includes cable and broadcast television networks, television production and distribution operations, domestic television stations, and radio networks and stations. The firm's Walt Disney Imagineering unit designs and develops new theme park concepts and attractions, as well as resort properties. The studio entertainment segment produces and acquires live-action and animated motion pictures, direct-to-video content, musical recordings and live stage plays. The firm also develops and publishes games, primarily for mobile platforms, books, magazines and comic books.",223000,"NEW YORK STOCK EXCHANGE, INC.",Media,Media & Entertainment,Entertainment,Communication Services,Movies & Entertainment,1957-11-12,US2546871060,,238514.3,Radio and Television Broadcasting,Television Broadcasting,Information,Broadcasting (except Internet),Walt Disney Co,18185601000,2270726,1807.063365,CALIFORNIA,DIS,https://thewaltdisneycompany.com/
0,2200 Mission College Blvd,Santa Clara,US,USD,458140100,"Intel Corp. engages in the design, manufacture, and sale of computer products and technologies. The company is headquartered in Santa Clara, California and currently employs 107,400 full-time employees. The firm's segments are Client Computing Group (CCG), Data Center Group (DCG), Internet of Things Group (IOTG), Non-Volatile Memory Solutions Group (NSG), Intel Security Group (ISecG), Programmable Solutions Group (PSG), All Other and New Technology Group (NTG). The company delivers computer, networking and communications platforms to a set of customers, including original equipment manufacturers (OEMs), original design manufacturers (ODMs), cloud and communications service providers, as well as industrial, communications and automotive equipment manufacturers. The company offers platforms to integrate various components and technologies, including a microprocessor and chipset, a stand-alone System-on-Chip (SoC), or a multichip package. The CCG operating segment includes platforms that integrates in notebook, two in one systems, desktop computers for consumers and businesses, tablets, and phones.",110800,NASDAQ NMS - GLOBAL MARKET,Semiconductors,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Information Technology,Semiconductors,1971-10-13,US4581401001,https://static.finnhub.io/logo/7109c242-80e0-11ea-a02a-00000000092a.png,212990.2,Semiconductor and Other Electronic Component Manufacturing,Semiconductor and Related Device Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,Intel Corp,14087658080,2463247,4253.0,CALIFORNIA,INTC,https://www.intel.com/
0,"3M Center, Bldg. 220-13E-26A",Saint Paul,US,USD,88579Y101,"3M Co. is a technology company, which manufactures industrial, safety and consumer products. The company is headquartered in Saint Paul, Minnesota and currently employs 93,516 full-time employees. The company operates through five segments. The Industrial segment serves a range of markets, such as automotive original equipment manufacturer and automotive aftermarket, appliance, paper and printing, packaging, food and beverage and construction. The Safety and Graphics segment serves a range of markets for the safety, security and productivity of people, facilities and systems. The Health Care segment serves markets that include medical clinics and hospitals, pharmaceuticals, health information systems and food manufacturing and testing. The Consumer segment serves markets that include consumer retail, office business to business, home improvement, drug and pharmacy retail, and other markets.",96163,"NEW YORK STOCK EXCHANGE, INC.",Industrial Conglomerates,Capital Goods,Industrial Conglomerates,Industrials,Industrial Conglomerates,1946-01-14,US88579Y1010,https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png,95486.74,Other Nonmetallic Mineral Product Manufacturing,Abrasive Product Manufacturing,Manufacturing,Nonmetallic Mineral Product Manufacturing,3M Co,16517331474,2595708,576.019442,MINNESOTA,MMM,https://www.3m.com/
0,1 New Orchard Rd,Armonk,US,USD,459200101,"International Business Machines Corp. is an information technology company, which provides integrated solutions that leverage information technology and knowledge of business processes. The company is headquartered in Armonk, New York and currently employs 350,600 full-time employees. The firm operates through five segments: Cognitive Solutions, Global Business Services (GBS), Technology Services & Cloud Platforms, Systems and Global Financing. The Cognitive Solutions segment delivers a spectrum of capabilities, from descriptive, predictive and prescriptive analytics to cognitive systems. Cognitive Solutions includes Watson, a cognitive computing platform that has the ability to interact in natural language, process big data, and learn from interactions with people and computers. The GBS segment provides clients with consulting, application management services and global process services. The Technology Services & Cloud Platforms segment provides information technology infrastructure services. The Systems segment provides clients with infrastructure technologies. The Global Financing segment includes client financing, commercial financing, and remanufacturing and remarketing.",352600,"NEW YORK STOCK EXCHANGE, INC.",Technology,Software & Services,IT Services,Information Technology,IT Consulting & Other Services,1915-11-11,US4592001014,https://static.finnhub.io/logo/4d20c7a4-8279-11ea-a30f-00000000092a.png,108917.8,Computer Systems Design and Related Services,Computer Systems Design Services,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",International Business Machines Corp,19144991900,2005973,890.578748,NEW YORK,IBM,https://www.ibm.com/us-en/?ar=1
0,100 N Riverside Plz,Chicago,US,USD,097023105,"The Boeing Co. is an aerospace company, which engages in the manufacture of commercial jetliners and defense, space and security systems. The company is headquartered in Chicago, Illinois and currently employs 153,000 full-time employees. The firm operates in four segments: Commercial Airplanes (BCA); Defense, Space & Security (BDS); Global Services (BGS), and Boeing Capital (BCC). BCA segment develops, produces and markets commercial jet aircraft and provides fleet support services, principally to the commercial airline industry worldwide. BDS segment is engaged in the research, development, production and modification of manned and unmanned military aircraft and weapons systems for strike, surveillance and mobility. BGS segment provides services to commercial and defense customers worldwide. BCC's segment portfolio consists of equipment under operating leases, finance leases, notes and other receivables and assets held for sale.",161100,"NEW YORK STOCK EXCHANGE, INC.",Aerospace & Defense,Capital Goods,Aerospace & Defense,Industrials,Aerospace & Defense,1934-09-05,US0970231058,https://static.finnhub.io/logo/7f18239e-80eb-11ea-b544-00000000092a.png,96548.95,Aerospace Product and Parts Manufacturing,Aircraft Manufacturing,Manufacturing,Transportation Equipment Manufacturing,Boeing Co,13125442000,2108601,564.448738,ILLINOIS,BA,http://www.boeing.com/
0,300 S Tryon St,Charlotte,US,USD,438516106,"Honeywell International, Inc. is a software industrial company, which offers industry specific solutions to aerospace and automotive products and services. The company is headquartered in Charlotte, North Carolina and currently employs 114,000 full-time employees. The firm operates through four segments: Aerospace, Home and Building Technologies, Performance Materials and Technologies, and Safety and Productivity Solutions. The firm's Aerospace segment supplies products, software and services for aircraft and vehicles that it sells to original equipment manufacturers (OEMs) and other customers. The Home and Building Technologies segment provides products, software, solutions and technologies that help owners of homes stay connected and in control of their comfort, security and energy use. The Performance Materials and Technologies segment is engaged in developing and manufacturing materials, process technologies and automation solutions. The Safety and Productivity Solutions segment is engaged in providing products, software and connected solutions to customers that manage productivity, workplace safety and asset performance.",113000,"NEW YORK STOCK EXCHANGE, INC.",Industrial Conglomerates,Capital Goods,Industrial Conglomerates,Industrials,Industrial Conglomerates,1985-09-19,US4385161066,,116980.2,Aerospace Product and Parts Manufacturing,Aircraft Engine and Engine Parts Manufacturing,Manufacturing,Transportation Equipment Manufacturing,Honeywell International Inc,17046276200,2020459,701.783165,NORTH CAROLINA,HON,https://www.honeywell.com/
0,1 Coca Cola Plz NW,Atlanta,US,USD,191216100,"The Coca-Cola Co. is the nonalcoholic beverage company, which engages in the manufacture, market, and sale of non-alcoholic beverages which include sparkling soft drinks, water, enhanced water and sports drinks, juice, dairy and plant-based beverages, tea and coffee and energy drinks. The company is headquartered in Atlanta, Georgia and currently employs 62,600 full-time employees. The firm owns or licenses and markets non-alcoholic beverage brands, primarily sparkling beverages and a range of still beverages, such as waters, flavored waters and enhanced waters, juices and juice drinks, ready-to-drink teas and coffees, sports drinks, dairy and energy drinks. The firm's segments include Europe, Middle East and Africa; Latin America; North America; Asia Pacific; Bottling Investments, and Corporate. The firm owns and markets a range of non-alcoholic sparkling beverage brands, including Coca-Cola, Diet Coke, Fanta and Sprite. The firm owns or licenses and markets over 500 non-alcoholic beverage brands. The firm markets, manufactures and sells beverage concentrates, which are referred to as beverage bases, and syrups, including fountain syrups, and finished sparkling and still beverages.",86200,"NEW YORK STOCK EXCHANGE, INC.",Beverages,"Food, Beverage & Tobacco",Beverages,Consumer Staples,Soft Drinks,1919-09-05,US1912161007,https://static.finnhub.io/logo/12f0377a-80ec-11ea-896a-00000000092a.png,219239.2,Beverage Manufacturing,Soft Drink Manufacturing,Manufacturing,Beverage and Tobacco Product Manufacturing,Coca-Cola Co,14046762121,2206657,4295.438919,GEORGIA,KO,http://www.coca-colacompany.com
0,2455 Paces Ferry Rd SE,Atlanta,US,USD,437076102,"The Home Depot, Inc. engages in the sale of building materials and home improvement products. The company is headquartered in Atlanta, Georgia and currently employs 413,000 full-time employees. The firm sells an assortment of building materials, home improvement products, and lawn and garden products, and provides various services. The Home Depot stores serves three primary customer groups: do-it-yourself (DIY) customers, do-it-for-me (DIFM) customers and professional customers. Its DIY customers are home owners purchasing products and completing their own projects and installations. The firm assists these customers with specific product and installation questions both in its stores and through online resources and other media designed to provide product and project knowledge. Its DIFM customers are home owners purchasing materials themselves and hiring third parties to complete the project or installation. Professional Customers are primarily professional renovators/remodelers, general contractors, repairmen, installers, small business owners and tradesmen.",415700,"NEW YORK STOCK EXCHANGE, INC.",Retail,Retailing,Specialty Retail,Consumer Discretionary,Home Improvement Retail,1984-04-19,US4370761029,https://static.finnhub.io/logo/f3d21b34-80eb-11ea-9fb5-00000000092a.png,290277.0,Building Material and Supplies Dealers,Home Centers,Retail Trade,Building Material and Garden Equipment and Supplies Dealers,Home Depot Inc,17704338211,2434209,1076.455514,GEORGIA,HD,https://www.homedepot.com/
0,1095 Avenue of the Americas,New York City,US,USD,92343V104,"Verizon Communications, Inc. is a holding company, which engages in the provision of communications, information, and entertainment products and services to consumers, businesses, and governmental agencies. The company is headquartered in New York City, New York and currently employs 135,400 full-time employees. The Company, through its subsidiaries, provides communications, information and entertainment products and services to consumers, businesses and governmental agencies. Its segments include Wireless and Wireline. The Wireless segment offers communications products and services, including wireless voice and data services and equipment sales, to consumer, business and government customers across the United States. The Wireline segment offers voice, data and video communications products and services, such as broadband video, data center and cloud services, security and managed network services, and local and long distance voice services. The firm has combined Yahoo! Inc.’s operating assets with its existing AOL Inc. business to create a new subsidiary, Oath Inc., owns a diverse house of more than 50 media and technology brands. The Oath portfolio includes HuffPost, Yahoo Sports, AOL.com, MAKERS, Tumblr, Yahoo Finance and Yahoo Mail.",135500,"NEW YORK STOCK EXCHANGE, INC.",Telecommunication,Telecommunication Services,Diversified Telecommunication Services,Communication Services,Integrated Telecommunication Services,1984-02-15,US92343V1044,https://static.finnhub.io/logo/9b7ee55a-80ec-11ea-bc1f-00000000092a.png,259545.9,Wireless Telecommunications Carriers (except Satellite),Wireless Telecommunications Carriers (except Satellite),Information,Telecommunications,Verizon Communications Inc,12123951000,2090571,4291.433646,NEW YORK,VZ,https://www.verizon.com/
